Title,Price,DiscogsID,MaxPrice
JOHN COLTRANE & MILT JACKSON - BAGS & TRANE 1961 PURPLE/RED MONO VG+/EX,99.99,20
"THE BEACH BOYS “Sunflower” Gatefold LP, 1970 Brother/Reprise RS6382, VG+/VG+",44.95,25
Dead Can Dance Within Realm Of Dying Sun LP Vinyl Record! UK 1987 4AD – CAD 705,59.95,25
Swans – The Glowing Man - Young God Records 3xLP  Vinyl + Poster Complete EUC,68.58,48
CHOCOLATE WATCH BAND No Way Out 1967 TOWER T-5096 Vinyl Lp Psych MONO Grail ,800.00,200
BOBBY CALDWELL - Carry On Vinyl LP 1982  Polydor  PD-16347 1st Press In Shrink,19.99,15
"Slits - Cut,Antilles, 1984 Repress with Wrong Song Title, US LP",83.00,40
Rasik K Cosmic Melody  Hindi Geets And Ghazals Disco Style Vinyl VG++ To Ex Rare,450.00,20
Eastern Avenue Boney M Vinyl LP Record VG++ To Ex Disco Rare,225.00,15
Wendy Carlos - Tron Soundtrack LP Vinyl 1982 CBS Records ,30.00,20
NM- * LP * JIM SHEPARD ~ Picking Through The Wreckage With A Stick ~,99.99,36
NM Vinyl * Private Press LP ** LONELY RIDER ~ Self-Titled ~ * S/T, CPG-0086-1 ,40.50,20
Nine Inch Nails Fixed 1992 UK Original Edition 12in Vinyl EP Island Records,325.00,80
Slapp Happy/Henry Cow - Desperate Straights - V 2024 - UK - Ultrasonic Cleaned,78.00,25
Jade Warrior - Jade Warrior - Vertigo - VEL 1007 - 1971 - Ultrasonic Cleaned,35.00,24
"David Axelrod ""Songs of Experience"" - OG 1969 Jazz-Rock, Psychedelic Soul LP EX",399.99,150
Live At The Cafe Montmartre LP Vinyl Record Cecil Taylor,58.00,27
Joy Division Closer LP,1981 Vinyl Record,44.50,40
BUCKINGHAM NICKS  original LP album with PicCover from 1973,49.99,50
MAX ROACH M'BOOM MBOOM,30.00,24
Vtg 1986 THE CURE Album STANDING ON A BEACH - The Singles 1ST PRESS Vinyl Lp NM!,90.00,36
Ramones-Pleasant Dreams LP Sire 1981 original press 24.99,1749488,21
SIOUXSIE And The BANSHEES Hyaena VG+ Vinyl LP Record 1st Press 1984 Robert Smith,29.95,386987,24
Brian Eno - Here Come The Warm Jets Lp Vinyl Record 1974 Island ILPS 9268,35.00,2062742,27
Public Enemy – Fear of a Black Planet LP Vinyl 1990 Def Jam Records,70.99,78957,30
John Cale VINTAGE VIOLENCE 1970 1st US Pressing CS 1037 VG+,35.00,641056,28
Jane's Addiction Ritual De Lo Habitual 1990 Vinyl LP 25993-1 Promo original albu,155.00,513801,70
brian eno - Before and After Science - LP  - Island ILPS 9478 -  VG+/VG+,45.00,59737,15
Sinead O'Connor - I Do Not Want What I Haven't Got - 1989 US 1st Press,65.00,21
BIG BLACK Atomizer LP US 1986 - Homestead Records HMS043 - FIRST PRESS,75.00,36
The Go-Betweens – 16 Lovers Lane - UK 1st Press & Printed Inner VG++,75.00,45
Cocteau Twins - VICTORIALAND Original 1st Press 45rpm UK 1986 4AD CAD 602 NM NM,99.00,24
Forbidden Zone Oingo Boingo LP USA,49.00,30
Gong Avec Daevid Allen Continental Circus 1972 Vinyl 6332 033 LP Phych Rock ,45.00,20
SONIC YOUTH Hits Are For Squares 2010 NUMBERED 2LP Vinyl Record PLAY GRADED VG+,49.99,40
Tonto's Expanding Head Band/Zero Time/1971 Atlantic Gatefold LP/EX,25.00,21
DONALD BYRD Black Byrd BLUE NOTE LP BN LA047 F,35.00,18
"Miles Davis, Birth Of Cool, 1957 1st Capitol Mono Comp. T-762",48.95,40
AFFINITY Self Titled LP GF 1970 Original Paramount Psych Rock EX/EX,69.99,40
Hermeto Pascoal - Slaves Mass LP - Warner Bros. VG+,36.00,15
Shuggie Otis- Inspiration Information- LP 1974 Epic KE 33059 Vinyl Record VG+/G+,101.99,60
"Outter Limitt 12"" In The Groove ICT Boogie Funk Hip Hop LP Record VG+",104.99,40
Shuggie Otis Freedom Flight Vinyl LP Epic BL 30752 Record VG,42.50,60
Jon Hassell Dream Theory In Malaya,Fourth World Volume Two 1981 EGM 114 VG+ ,33.99,15
"JESUS & MARY CHAIN 1985 ""Psychocandy"" LP w Just Like Honey Blanco Y Negro VG+",89.99,6417943,30
"LP, Antonio Carlos Jobim – Stone Flower, CTI Records CTI 6002, 1970 Orig, G - VG",25.00,676221,35
Joy Division Closer Vinly Record Album 12'' 1987 Factus VI 6 Very Good JacketVG+,64.95,19212958,35
Cocteau Twins - Treasure OG ORIGINAL UK 1984 Vinyl LP ALBUM RECORD VG New Wave,32.00,63993,25
HENRY FRANKLIN The Skipper LP BLACK JAZZ RECORDS BJQD/7 US 1972 PROMO,218.99,6040871,75 
CHARLES MINGUS The Black Saint And The Sinner Lady LP IMPULSE! A-35 US 1963 MONO,258.99,10808685,100
MAL WALDRON Black Glory LP ENJA RECORDS 2004 ST US 1971 JAZZ Jimmy Woode,66.99,2085975,15
ALBERT AYLER TRIO Spiritual Unity LP ESP-DISK' 1002 US '65 MONO Sunny Murray VG+,338.99,4339219,250
Indigo Girls S/T - 1989 Vinyl LP Epic Records E 45044 US Pressing,68.00,1165578,24
The Decline Of Western Civilization Slash SR-105 Black Flag Fear Circle Jerks NM,95.00,797728,25
Dexter Wansel - Life on Mars Vinyl LP,32.00,249156,21
Syd Barrett The Madcap Laughs & Barrett Dbl-LP Set 1976 French Press/VERY NICE,60.00,10670440,18
"Miles Davis, Big Fun, 1974 Columbia PG 32866 2LP Gatefold Jazz Fusion",45.00,585865,20
TRACY CHAPMAN “self-titled” 1988 Vinyl LP Elektra Records 9 60774-1  ‘Fast Car’,75.00,761153,20
Gabor Szabo- Spellbinder- LP 1966 Impulse! A-9123,27.99,2126983,20
John Cale from Velvet Underground Paris 1919 vinyl LP 1973 U.S. 1st pressing,75.00,3208941,40
"Billy Harper Soran-Bushi, B.H. LP Vinyl Record Album Denon Japan Excellent Cond.",50.00,4590406,18
Depeche Mode Black Celebration 92 54291 Canadian Press LP NM -XTRA LPs SHIP FREE,59.99,24
TORTOISE – MILLIONS NOW LIVING WILL NEVER DIE - VINYL LP BLACK THRILL JOCKEY A16,75.61,35
TOWNES VAN ZANDT – FLYIN' SHOES - VINYL LP TOM-7017 1978 TOMATO - VG+ - A5,69.06,24
Kaleidoscope / Beacon From Mars / Epic Stereo 26333 / 1967 / Play Graded VG,25.00,48
Pharaoh's First LP Vinyl Record Pharoah Sanders 1969,200.00,80
THE CURE: Three Imaginary Boys~Rare Post Punk DJ/Promo Album~UK Import~FICTION,379.99,40
Yusef Lateef Psychicemotus  A-92 Impulse Records Stereo 1st ed LP Near Mint,69.99,30
"Nick Drake lp ""Five Leaves Left"" Antilles 7010",75.00,1695929,50
SHYLOCK - Gialorgues 8001 Vinyl LP Rare 1977 French Import - Ultrasonic Cleaned,94.95,2874376,65
Pylon Chomp Vinyl LP 1983 DB RECS DB65 NM/EX,75.00,35
Fairchild 1978 Flight Records Private Press Prog Rock Minneapolis GREAT!,50.00,25
